source_text,target_text
complete: Pontedera is a Tuscany town in the,city of Pisa.
complete: There are 10 ground-level stations and four,above.
"complete: Born January 19, 1955, Sir Simon Denis Rattle is",an English conductor.
complete: Lothar Emmerich was a German,soccer player.
complete: After a,"package has remained unstable for a length of time, that package is automatically migrated to testing distribution."
complete: Pretoria stayed capital,when South Africa became a republic.
complete: Module theory and p-adic L-functions had connections that were,defined in the 1960s by Kubota and Leopoldt.
complete: Political and economic obstacles slowed the,"development of the TAR during the 1960s, 1970s and early 1980s."
complete: 1263 - The chieftains of eastern Iceland become the last to pledge,"loyalty to the Norwegian king, ending the Icelandic Commonwealth and the Icelandic civil war."
complete: John Lennon and Yoko,"Ono hold their Bed-In at the Queen Elizabeth Hotel in Montreal, Quebec."
complete: 58 of her,77 works were first published in the journal's pages.
complete: The Mail on Sunday was first launched on,2 May 1982. It was to complement the Daily Mail.
complete: She agreed. Light came back to,the earth.
complete: Microsoft stopped all development of its Java Virtual Machine (JVM),from Windows 2000 in SP3.
complete: Many women start their careers,as adults.
complete: South Somerset is a local government district,in England.
complete: Around ten percent of the runestones inform about the travels,and deaths of men abroad.
complete: Later in life he recorded with,the Columbia Symphony Orchestra.
complete: A similar thing can be,seen today at Château de Tarascon.
"complete: Her promotional visits include mainland of China, Hong","Kong, Malaysia, and Singapore."
complete: He studied with Henry Hugo Pierson in Stuttgart. He also studied with William Sterndale Bennett and the pianist Edward,Dannreuther in London.
complete: The district was created on,"June 12, 1994. It merged the districts Röbel and Waren. It included a few municipalities from the districts Malchin and Neustrelitz too."
complete: It was built to celebrate Constantine I's victory over Maxentius at the,Battle of Milvian Bridge.
complete: James Howard Thome is a hitter for,the Chicago White Sox.
complete: His work is used as motivation by,modern patriots and national activists.
complete: Aaron Schock is a member of the U. S. House of,Representatives. He represents the 18th district of Illinois.
complete: The president is,Tarja Halonen.
complete: Beverages such as ales and stouts rely,on this effect to produce the foam. It sits on the surface of the poured product.
complete: Mechanical qualities of nanosystems are important in,the nanomechanics research.
"complete: In 2006, Phil Downing left the band because",he couldn't get along with other members.
complete: Hindenburg missed the quiet of his retirement. He would,complain that he allowed himself to be pressured into running for President.
complete: The Giant Hispaniolan Galliwasp,is a species of lizard in the Anguidae family.
complete: He played on one,album with One Hot Minute in 1995.
complete: We carry traits that,help us survive and reproduce.
complete: The port is maintained by the Karachi Port,Trust which started in the nineteenth century.
complete: A part of block ciphers use the,"process, including Data Encryption Standard."
complete: Gothic architecture is,seen as the theme of many great cathedrals like abbeys and parish of Europe.
"complete: ""A Storm of Swords"" is the third part in","""A Song of Ice and Fire"", a fantasy series by George R. R. Martin."
"complete: Some educational magazines do refer to Wikipedia, but are not using it exclusively",for info.
complete: 250 soldiers took three months to roll the,gun barrels from North Sydney.
complete: Batista and his,team won a six man tag match on Saturday Night's Main Event.
complete: The volcano is notorious for its,ash explosions.
complete: Shatner played,as a police sergeant in T. J. Hooker.
complete: Parts of Gabrielle were absorbed the next day by,a cold front.
complete: Agriculture is the,main economic activity.
"complete: He was a bad guy in Spy Kids 3 - D, which was a success by earning almost $200 million",worldwide.
complete: After Schidlof dies of a,"heart attack, the Amadeus Quartet broke up."
"complete: ""Live at Wembley '86"" is a live album",by rock band Queen.
complete: It's the last book,in his Hyperion Cantos series.
complete: This was,the first use of Franklin to name a tropical storm.
complete: Reverend Derek Jones was the first,mayor of Gaborone.
complete: Tehsils & Unions in the District of Mardan. It is located at,the coordinates 34 ° 26 '0N 72 ° 3' 0E. The altitude is 406 metres (1335 feet).
complete: Much of the province is in the plain of the Arno River. It has become a prosperous area around the city of,Florence.
complete: There are more than six,hundred Linux distributions.
"complete: Bisexual pornography differs from threesome pornography, which typically depicts one man",and two women.
complete: The storm weakened over land,"on August 26 to a tropical storm. It than grew to become a hurricane, an hour after passing Florida and entering the Gulf of Mexico."
complete: He was a very active campaigner in the crisis years in Italy after the First World War and during the early years of,Fascist rule.
complete: Berlin and Paris built thriving,communities.
complete: If you do not think closing,"early was a good thing, ask the editor to reverse it."
"complete: After seeing the documents, historians say Adams doesn't deserve equal credit with",Le Verrier.
"complete: In 326 BCE,",most political units of Gandhara / Kamboja Mahajanapadas were conquered by Macedonia.
"complete: There are subscription plans for schools, colleges and libraries. Institutional subscribers are",important to Britannica.
complete: Places where a continental,divide meets the coast are not always clear. It is because the border between bodies of water can't be seen clearly.
complete: It has a,"stopper at the top and tap, at the bottom."
"complete: Penshurst in Kent, England hasn't been changed much since 14th",century.
complete: In general a digital signal is a quantized discrete-time signal; a discrete-time signal is a sampled analog,signal.
